Item_Fat_Content	Item_Identifier	Item_Type	Outlet_Establishment_Year	Outlet_Identifier	Outlet_Location_Type	Outlet_Size	Outlet_Type	Item_Visibility	Item_Weight	Sales	Rating
Low Fat	NCJ42	Household	2015	OUT045	Tier 2	Small	Supermarket Type1	0.0143303	19.75	104.233	5
Low Fat	FDQ10	Snack Foods	2015	OUT045	Tier 2	Small	Supermarket Type1	0.0332465	12.85	172.442	5
Low Fat	FDL34	Snack Foods	2015	OUT045	Tier 2	Small	Supermarket Type1	0.0410289	16	142.65	5
Low Fat	DRK37	Soft Drinks	2015	OUT045	Tier 2	Small	Supermarket Type1	0	5	189.853	5
Low Fat	DRF48	Soft Drinks	2015	OUT045	Tier 2	Small	Supermarket Type1	0.0519065	5.73	188.19	5
Low Fat	DRG49	Soft Drinks	2015	OUT045	Tier 2	Small	Supermarket Type1	0.0675921	7.81	246.049	5
Low Fat	FDX60	Baking Goods	2020	OUT017	Tier 2	Small	Supermarket Type1	0.08105	14.35	79.196	5
Low Fat	FDS13	Canned	2020	OUT017	Tier 2	Small	Supermarket Type1	0.12521	6.465	266.888	5
Low Fat	FDC50	Canned	2020	OUT017	Tier 2	Small	Supermarket Type1	0.13727	15.85	94.4094	5
Low Fat	FDK51	Dairy	2020	OUT017	Tier 2	Small	Supermarket Type1	0.00526475	19.85	264.588	5
Low Fat	FDD17	Frozen Foods	2020	OUT017	Tier 2	Small	Supermarket Type1	0.0328115	7.5	239.691	5
Low Fat	FDJ28	Frozen Foods	2020	OUT017	Tier 2	Small	Supermarket Type1	0.0219846	12.3	191.216	5
Low Fat	FDP16	Frozen Foods	2020	OUT017	Tier 2	Small	Supermarket Type1	0.0395171	18.6	243.68	5
Low Fat	FDB20	Fruits and Vegetables	2020	OUT017	Tier 2	Small	Supermarket Type1	0.0522747	7.72	79.1986	5
Low Fat	FDP56	Fruits and Vegetables	2020	OUT017	Tier 2	Small	Supermarket Type1	0.0467471	8.185	49.9692	5
Low Fat	FDT43	Fruits and Vegetables	2020	OUT017	Tier 2	Small	Supermarket Type1	0.0206642	16.35	50.8324	5
Low Fat	DRI59	Hard Drinks	2020	OUT017	Tier 2	Small	Supermarket Type1	0.0410656	9.5	223.509	5
Low Fat	DRN47	Hard Drinks	2020	OUT017	Tier 2	Small	Supermarket Type1	0.0169219	12.1	178.366	5
Low Fat	DRM23	Hard Drinks	2020	OUT017	Tier 2	Small	Supermarket Type1	0.136501	16.6	173.342	5
Low Fat	NCN53	Health and Hygiene	2020	OUT017	Tier 2	Small	Supermarket Type1	0.0305272	5.175	33.5874	5
Low Fat	NCT53	Health and Hygiene	2020	OUT017	Tier 2	Small	Supermarket Type1	0.0483884	5.4	163.053	5
Low Fat	NCQ05	Health and Hygiene	2020	OUT017	Tier 2	Small	Supermarket Type1	0	11.395	149.271	5
Low Fat	NCM53	Health and Hygiene	2020	OUT017	Tier 2	Small	Supermarket Type1	0.0523353	18.75	108.128	5
Low Fat	NCX42	Household	2020	OUT017	Tier 2	Small	Supermarket Type1	0.00601241	6.36	163.053	5
Low Fat	NCT18	Household	2020	OUT017	Tier 2	High	Supermarket Type1	0.0597412	14.6	179.698	5
Low Fat	NCI30	Household	2020	OUT017	Tier 2	High	Supermarket Type1	0.0592689	20.25	246.446	5
Low Fat	NCE54	Household	2020	OUT017	Tier 2	High	Supermarket Type1	0.027052	20.7	73.9354	5
Low Fat	FDH19	Meat	2020	OUT017	Tier 2	High	Supermarket Type1	0.0332756	19.35	173.874	5
Low Fat	FDT03	Meat	2020	OUT017	Tier 2	High	Supermarket Type1	0.0100553	21.25	183.161	5
Low Fat	NCN19	Others	2020	OUT017	Tier 2	High	Supermarket Type1	0.012168	13.1	190.253	5
Low Fat	NCQ43	Others	2020	OUT017	Tier 2	High	Supermarket Type1	0.111931	17.75	108.891	5
Low Fat	FDK09	Snack Foods	2020	OUT017	Tier 2	High	Supermarket Type1	0.0922824	15.2	227.235	5
Low Fat	FDV46	Snack Foods	2020	OUT017	Tier 2	High	Supermarket Type1	0.0126792	18.2	139.818	5
Low Fat	FDY46	Snack Foods	2020	OUT017	Tier 2	High	Supermarket Type1	0.0481608	18.6	188.99	5
low fat	NCY41	Health and Hygiene	2020	OUT017	Tier 2	Medium	Supermarket Type1	0.076164	16.75	34.0532	5
Low Fat	FDA23	Baking Goods	2017	OUT035	Tier 2	Small	Supermarket Type1	0.0471781	9.8	99.4016	5
Low Fat	FDR60	Baking Goods	2017	OUT035	Tier 2	Small	Supermarket Type1	0.13039	14.3	77.2328	5
Low Fat	FDN60	Baking Goods	2017	OUT035	Tier 2	Small	Supermarket Type1	0.0951401	15.1	159.96	5
Low Fat	FDU48	Baking Goods	2017	OUT035	Tier 2	Small	Supermarket Type1	0.055348	18.85	131.528	5
Low Fat	FDG60	Baking Goods	2017	OUT035	Tier 2	Small	Supermarket Type1	0.0606882	20.35	234.262	5
Low Fat	FDU11	Breads	2017	OUT035	Tier 2	Small	Supermarket Type1	0.0925761	4.785	121.01	5
Low Fat	FDT49	Canned	2017	OUT035	Tier 2	Small	Supermarket Type1	0.151377	7	108.228	5
Low Fat	FDS37	Canned	2017	OUT035	Tier 2	Small	Supermarket Type1	0.0319388	7.655	114.149	5
Low Fat	FDK50	Canned	2017	OUT035	Tier 2	Small	Supermarket Type1	0.0283578	7.96	163.289	5
Low Fat	FDG26	Canned	2017	OUT035	Tier 2	Small	Supermarket Type1	0.0426418	18.85	257.833	5
Low Fat	FDD14	Canned	2017	OUT035	Tier 2	Small	Supermarket Type1	0.169776	20.7	184.427	5
Low Fat	FDK41	Frozen Foods	2017	OUT035	Tier 2	Small	Supermarket Type1	0.127518	14.3	86.0224	5
Low Fat	FDD16	Frozen Foods	2017	OUT035	Tier 2	Small	Supermarket Type1	0.0363462	20.5	72.9696	5
Low Fat	FDZ44	Fruits and Vegetables	2017	OUT035	Tier 2	Small	Supermarket Type1	0.0387217	8.185	115.881	5
Low Fat	FDO44	Fruits and Vegetables	2017	OUT035	Tier 2	Small	Supermarket Type1	0.0874367	12.6	109.923	5
Low Fat	DRL11	Hard Drinks	2017	OUT035	Tier 2	Small	Supermarket Type1	0.0480091	10.5	157.095	5
Low Fat	NCU17	Health and Hygiene	2017	OUT035	Tier 2	Small	Supermarket Type1	0.0928657	5.32	100.667	5
Low Fat	NCL41	Health and Hygiene	2017	OUT035	Tier 2	Small	Supermarket Type1	0.0417297	12.35	36.3216	5
Low Fat	NCS53	Health and Hygiene	2017	OUT035	Tier 2	Small	Supermarket Type1	0.0897612	14.5	159.46	5
Low Fat	NCV17	Health and Hygiene	2017	OUT035	Tier 2	Small	Supermarket Type1	0.0161045	18.85	130.263	5
Low Fat	NCO14	Household	2017	OUT035	Tier 2	Small	Supermarket Type1	0.0296383	9.6	42.6086	5
Low Fat	NCU18	Household	2017	OUT035	Tier 2	Small	Supermarket Type1	0.0558295	15.1	140.25	5
Low Fat	NCI54	Household	2017	OUT035	Tier 2	Small	Supermarket Type1	0.0335927	15.2	108.191	5
Low Fat	NCQ50	Household	2017	OUT035	Tier 2	Small	Supermarket Type1	0	18.75	213.322	5
Low Fat	NCC18	Household	2017	OUT035	Tier 2	Small	Supermarket Type1	0.177236	19.1	172.342	5
Low Fat	NCQ38	Others	2017	OUT035	Tier 2	Small	Supermarket Type1	0.0133639	16.35	106.128	5
Low Fat	FDL10	Snack Foods	2017	OUT035	Tier 2	Small	Supermarket Type1	0.0394847	8.395	97.9042	5
Low Fat	FDE34	Snack Foods	2017	OUT035	Tier 2	Small	Supermarket Type1	0.107871	9.195	181.263	5
Low Fat	FDL46	Snack Foods	2017	OUT035	Tier 2	Small	Supermarket Type1	0.0540467	20.35	119.547	5
Low Fat	FDH10	Snack Foods	2017	OUT035	Tier 2	Small	Supermarket Type1	0.0492957	21	194.448	5
Low Fat	DRE60	Soft Drinks	2017	OUT035	Tier 2	Small	Supermarket Type1	0.159304	9.395	226.172	5
Low Fat	DRD60	Soft Drinks	2017	OUT035	Tier 2	Small	Supermarket Type1	0.0372251	15.7	182.463	5
Low Fat	FDR48	Baking Goods	2011	OUT010	Tier 3	Medium	Grocery Store	0.220111	11.65	153.002	5
Low Fat	FDO16	Frozen Foods	2011	OUT010	Tier 3	Medium	Grocery Store	0.025288	5.48	83.325	5
Low Fat	FDE53	Frozen Foods	2011	OUT010	Tier 3	Medium	Grocery Store	0.0449919	10.895	107.228	5
Low Fat	FDV31	Fruits and Vegetables	2011	OUT010	Tier 3	Medium	Grocery Store	0.178623	9.8	177.937	5
Low Fat	FDF32	Fruits and Vegetables	2011	OUT010	Tier 3	Medium	Grocery Store	0.113954	16.35	198.243	5
Low Fat	DRN35	Hard Drinks	2011	OUT010	Tier 3	Medium	Grocery Store	0.11758	8.01	36.6532	5
Low Fat	NCQ17	Health and Hygiene	2011	OUT010	Tier 3	Medium	Grocery Store	0.195721	10.3	156.463	5
Low Fat	NCQ41	Health and Hygiene	2011	OUT010	Tier 3	Medium	Grocery Store	0.0326062	14.8	193.579	5
Low Fat	NCN06	Household	2011	OUT010	Tier 3	Medium	Grocery Store	0.201688	8.39	162.887	5
Low Fat	NCF30	Household	2011	OUT010	Tier 3	Medium	Grocery Store	0.211307	17	125.136	5
Low Fat	FDQ39	Meat	2011	OUT010	Tier 3	High	Grocery Store	0.135648	14.8	190.885	5
Low Fat	FDL45	Snack Foods	2011	OUT010	Tier 3	High	Grocery Store	0.0630817	15.6	125.77	5
Low Fat	FDR10	Snack Foods	2011	OUT010	Tier 3	High	Grocery Store	0.0168047	17.6	163.455	5
Low Fat	FDZ09	Snack Foods	2011	OUT010	Tier 3	High	Grocery Store	0.175546	17.6	163.687	5
Low Fat	DRJ13	Soft Drinks	2011	OUT010	Tier 3	High	Grocery Store	0.105265	12.65	159.958	5
Low Fat	DRD24	Soft Drinks	2011	OUT010	Tier 3	High	Grocery Store	0.0515447	13.85	142.515	5
Low Fat	DRH25	Soft Drinks	2011	OUT010	Tier 3	High	Grocery Store	0.0244257	18.7	52.9324	5
Low Fat	FDW23	Baking Goods	2014	OUT013	Tier 3	High	Supermarket Type1	0.081944	5.765	36.7164	5
Low Fat	FDW59	Breads	2014	OUT013	Tier 3	High	Supermarket Type1	0.0206987	13.15	86.3566	5
Low Fat	DRF27	Dairy	2014	OUT013	Tier 3	High	Supermarket Type1	0.0283936	8.93	153.434	5
Low Fat	FDB15	Dairy	2014	OUT013	Tier 3	High	Supermarket Type1	0.136697	10.895	264.557	5
Low Fat	FDG16	Frozen Foods	2014	OUT013	Tier 3	High	Supermarket Type1	0.0897421	15.25	213.719	5
Low Fat	FDJ04	Frozen Foods	2014	OUT013	Tier 3	High	Supermarket Type1	0.124348	18	118.312	5
Low Fat	FDJ32	Fruits and Vegetables	2014	OUT013	Tier 3	High	Supermarket Type1	0.0577442	10.695	61.2536	5
Low Fat	FDM56	Fruits and Vegetables	2014	OUT013	Tier 3	High	Supermarket Type1	0.0701332	16.7	109.891	5
Low Fat	FDB45	Fruits and Vegetables	2014	OUT013	Tier 3	High	Supermarket Type1	0.021312	20.85	104.931	5
Low Fat	DRJ23	Hard Drinks	2014	OUT013	Tier 3	High	Supermarket Type1	0.0416342	18.35	188.187	5
Low Fat	NCN06	Household	2014	OUT013	Tier 3	High	Supermarket Type1	0.120397	8.39	163.487	5
Low Fat	NCF43	Household	2014	OUT013	Tier 3	High	Supermarket Type1	0.0519027	8.51	142.247	5
Low Fat	NCG07	Household	2014	OUT013	Tier 3	High	Supermarket Type1	0.0524584	12.3	188.753	5
Low Fat	NCB55	Household	2014	OUT013	Tier 3	High	Supermarket Type1	0.160529	15.7	59.2562	5
Low Fat	NCN30	Household	2014	OUT013	Tier 3	High	Supermarket Type1	0.0169791	16.35	97.441	5
Low Fat	FDF22	Snack Foods	2014	OUT013	Tier 3	High	Supermarket Type1	0.0567834	6.865	214.522	5
Low Fat	FDQ10	Snack Foods	2014	OUT013	Tier 3	High	Supermarket Type1	0.0331516	12.85	170.642	5
Low Fat	DRK13	Soft Drinks	2014	OUT013	Tier 3	High	Supermarket Type1	0.115072	11.8	198.208	5
Low Fat	DRL37	Soft Drinks	2014	OUT013	Tier 3	High	Supermarket Type1	0.0533278	15.5	44.477	5
Low Fat	FDN60	Baking Goods	2022	OUT018	Tier 3	Medium	Supermarket Type2	0.0955457	15.1	157.36	5
Low Fat	FDU23	Breads	2022	OUT018	Tier 3	Medium	Supermarket Type2	0.021812	12.15	163.618	5
Low Fat	FDM13	Breakfast	2022	OUT018	Tier 3	Medium	Supermarket Type2	0.0634327	6.425	132.863	5
Low Fat	FDB50	Canned	2022	OUT018	Tier 3	Medium	Supermarket Type2	0.154244	13	77.9986	5
Low Fat	FDC04	Dairy	2022	OUT018	Tier 3	Medium	Supermarket Type2	0.0451689	15.6	242.985	5
Low Fat	DRF03	Dairy	2022	OUT018	Tier 3	Medium	Supermarket Type2	0.0454927	19.1	40.3138	5
Low Fat	FDG53	Frozen Foods	2022	OUT018	Tier 3	Medium	Supermarket Type2	0.0460437	10	140.618	5
Low Fat	FDP16	Frozen Foods	2022	OUT018	Tier 3	Medium	Supermarket Type2	0.0394549	18.6	244.08	5
Low Fat	FDE08	Fruits and Vegetables	2022	OUT018	Tier 3	Medium	Supermarket Type2	0.0495206	18.2	147.373	5
